Date-Time,Date ∇,UTC time,Temp. (ºC),Rel. Hum. (%),Pressure/ Geopot.,Wind dir,Wins speed (Km/h),Clouds,Low clouds,Medium clouds,High clouds,Prec. (mm),Max temp. (ºC),Min temp. (ºC),Conditions
2015-05-12 15:00:00,12/05/2015,15Z,26.6,90%,1007.6 Hpa,calm.,,5/8,3/8 SC,AC,-,12.6(24h),-,-,Cloudy
2015-05-12 18:00:00,12/05/2015,18Z,25.0,94%,1007.8 Hpa,calm.,,6/8,3/8 SC,AC,-,12.6(24h),-,-,Cloudy
2015-05-12 21:00:00,12/05/2015,21Z,24.4,91%,1008.0 Hpa,calm.,,6/8,3/8 SC,AC,-,12.6(24h),-,-,Cloudy
2015-05-13 00:00:00,13/05/2015,00Z,24.0,100%,1008.2 Hpa,calm.,,7/8,4/8 SC,AC,-,12.6(24h),-,-,Cloudy
2015-05-13 03:00:00,13/05/2015,03Z,30.2,73%,1010.2 Hpa,calm.,,5/8,3/8 SC,AC,-,2.6(24h),-,23.5,Cloudy
2015-05-13 06:00:00,13/05/2015,06Z,32.4,61%,1008.7 Hpa,180º (S ),3.7,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-13 09:00:00,13/05/2015,09Z,33.5,65%,1006.1 Hpa,180º (S ),3.7,4/8,3/8 SC,AC,-,-,-,-,Scattered clouds
2015-05-13 12:00:00,13/05/2015,12Z,32.0,75%,1004.6 Hpa,190º (S ),3.7,1/8,1/8 SC,-,-,-,34.8,-,Few clouds
2015-05-13 15:00:00,13/05/2015,15Z,29.3,82%,1006.1 Hpa,calm.,,1/8,1/8 SC,-,-,-,-,-,Few clouds
2015-05-13 18:00:00,13/05/2015,18Z,28.3,87%,1007.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-13 21:00:00,13/05/2015,21Z,27.7,95%,1008.3 Hpa,calm.,,4/8,2/8 SC,AC,-,-,-,-,Scattered clouds
2015-05-14 00:00:00,14/05/2015,00Z,27.0,100%,1008.7 Hpa,calm.,,5/8,2/8 SC,AC,-,-,-,-,"Cloudy, haze"
2015-05-14 03:00:00,14/05/2015,03Z,32.0,75%,1010.1 Hpa,210º (SW),5.6,5/8,3/8 SC,AC,-,-,-,27.0,Cloudy
2015-05-14 06:00:00,14/05/2015,06Z,33.3,65%,1008.4 Hpa,210º (SW),5.6,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-14 09:00:00,14/05/2015,09Z,34.9,60%,1006.1 Hpa,210º (SW),1.9,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
2015-05-14 12:00:00,14/05/2015,12Z,33.0,66%,1005.4 Hpa,calm.,,2/8,2/8 SC,-,-,-,35.4,-,Few clouds
2015-05-14 15:00:00,14/05/2015,15Z,30.2,83%,1007.1 Hpa,180º (S ),1.9,0/8,-,-,-,-,-,-,Clear
2015-05-14 18:00:00,14/05/2015,18Z,28.8,95%,1008.0 Hpa,210º (SW),3.7,0/8,-,-,-,-,-,-,Clear
2015-05-14 21:00:00,14/05/2015,21Z,28.3,92%,1007.5 Hpa,200º (S ),3.7,4/8,2/8 SC,AC,-,-,-,-,Scattered clouds
2015-05-15 00:00:00,15/05/2015,00Z,28.0,94%,1008.2 Hpa,200º (S ),3.7,8/8,3/8 SC,AC,,-,-,-,Overcast
2015-05-15 03:00:00,15/05/2015,03Z,30.2,83%,1010.5 Hpa,200º (S ),5.6,8/8,3/8 SC,AC,,-,-,28.0,Overcast
2015-05-15 06:00:00,15/05/2015,06Z,33.8,63%,1008.8 Hpa,180º (S ),7.4,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-15 09:00:00,15/05/2015,09Z,34.9,60%,1006.2 Hpa,210º (SW),1.9,3/8,2/8 SC,AC,-,-,-,-,Scattered clouds
2015-05-15 12:00:00,15/05/2015,12Z,24.6,90%,1008.8 Hpa,200º (S ),9.3,8/8,5/8 CB,AC,,0.5(24h),35.0,-,Overcast
2015-05-15 15:00:00,15/05/2015,15Z,25.0,94%,1007.3 Hpa,350º (N ),1.9,6/8,4/8 CB,AC,,4.0(3h),-,-,"Cloudy, lightning"
2015-05-15 18:00:00,15/05/2015,18Z,25.1,93%,1009.0 Hpa,calm.,,8/8,-,-,-,4.7(24h),-,-,Overcast
2015-05-15 21:00:00,15/05/2015,21Z,25.0,94%,1008.7 Hpa,calm.,,6/8,3/8 SC,AC,-,4.7(24h),-,-,Cloudy
2015-05-16 00:00:00,16/05/2015,00Z,25.0,94%,1008.2 Hpa,calm.,,5/8,3/8 SC,AC,-,4.7(24h),-,-,Cloudy
2015-05-16 03:00:00,16/05/2015,03Z,28.8,84%,1010.4 Hpa,calm.,,4/8,2/8 SC,AC,-,-,-,24.5,Scattered clouds
2015-05-16 06:00:00,16/05/2015,06Z,31.8,63%,1008.3 Hpa,calm.,,3/8,3/8 SC,-,-,4.7(24h),-,-,Scattered clouds
2015-05-16 09:00:00,16/05/2015,09Z,34.0,59%,1004.9 Hpa,130º (SE),3.7,0/8,-,-,-,4.7(24h),-,-,Clear
2015-05-16 12:00:00,16/05/2015,12Z,32.4,65%,1003.7 Hpa,130º (SE),3.7,0/8,-,-,-,4.2(24h),34.4,-,Clear
2015-05-16 15:00:00,16/05/2015,15Z,29.8,85%,1005.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-16 18:00:00,16/05/2015,18Z,28.4,86%,1006.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-16 21:00:00,16/05/2015,21Z,27.8,95%,1006.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-17 00:00:00,17/05/2015,00Z,27.2,98%,1005.1 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-17 03:00:00,17/05/2015,03Z,31.0,79%,1007.0 Hpa,180º (S ),3.7,5/8,3/8 SC,AC,-,-,-,27.0,Cloudy
2015-05-17 06:00:00,17/05/2015,06Z,33.0,66%,1005.9 Hpa,180º (S ),3.7,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-17 09:00:00,17/05/2015,09Z,28.0,78%,1005.0 Hpa,090º (E ),14.8,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-17 12:00:00,17/05/2015,12Z,25.8,89%,1004.6 Hpa,130º (SE),1.9,7/8,5/8 SC,AC,-,6.0(24h),35.0,-,Cloudy
2015-05-17 15:00:00,17/05/2015,15Z,26.0,94%,1005.3 Hpa,180º (S ),3.7,6/8,4/8 SC,AC,-,5.6(24h),-,-,Cloudy
2015-05-17 18:00:00,17/05/2015,18Z,26.0,94%,1006.1 Hpa,calm.,,7/8,4/8 SC,AC,-,5.6(24h),-,-,Cloudy
2015-05-17 21:00:00,17/05/2015,21Z,25.9,94%,1005.7 Hpa,calm.,,6/8,4/8 SC,AC,-,461.0(2h),-,-,Cloudy
2015-05-18 00:00:00,18/05/2015,00Z,25.8,95%,1005.6 Hpa,calm.,,5/8,3/8 SC,AC,-,5.6(24h),-,-,Cloudy
2015-05-18 03:00:00,18/05/2015,03Z,29.4,86%,1006.6 Hpa,calm.,,5/8,4/8 SC,AC,-,5.6(24h),-,25.5,Cloudy
2015-05-18 06:00:00,18/05/2015,06Z,33.0,63%,1006.1 Hpa,210º (SW),11.1,5/8,3/8 SC,AC,-,5.6(24h),-,-,Cloudy
2015-05-18 09:00:00,18/05/2015,09Z,27.2,87%,1003.3 Hpa,090º (E ),5.6,7/8,3/8 SC,AC,-,5.6(24h),-,-,Cloudy
2015-05-18 12:00:00,18/05/2015,12Z,29.0,79%,1003.6 Hpa,180º (S ),3.7,5/8,2/8 SC,AC,-,-,34.2,-,Cloudy
2015-05-18 15:00:00,18/05/2015,15Z,27.0,88%,1005.3 Hpa,calm.,,1/8,1/8 SC,-,-,-,-,-,Few clouds
2015-05-18 18:00:00,18/05/2015,18Z,26.2,93%,1005.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-18 21:00:00,18/05/2015,21Z,25.6,96%,1004.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-19 00:00:00,19/05/2015,00Z,25.0,94%,1004.6 Hpa,150º (SE),1.9,1/8,1/8 SC,-,-,-,-,-,Few clouds
2015-05-19 03:00:00,19/05/2015,03Z,30.8,71%,1005.7 Hpa,130º (SE),3.7,5/8,4/8 SC,AC,-,-,-,24.9,Cloudy
2015-05-19 06:00:00,19/05/2015,06Z,32.7,60%,1004.2 Hpa,calm.,,5/8,4/8 SC,AC,-,-,-,-,Cloudy
2015-05-19 09:00:00,19/05/2015,09Z,34.9,56%,1002.0 Hpa,calm.,,2/8,2/8 SC,-,-,-,-,-,Few clouds
2015-05-19 12:00:00,19/05/2015,12Z,33.0,59%,1001.0 Hpa,calm.,,2/8,2/8 SC,-,-,-,35.5,-,Few clouds
2015-05-19 15:00:00,19/05/2015,15Z,30.0,79%,1002.7 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-19 18:00:00,19/05/2015,18Z,28.4,86%,1003.5 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-19 21:00:00,19/05/2015,21Z,27.4,86%,1002.9 Hpa,calm.,,2/8,2/8 SC,-,-,-,-,-,"Few clouds, haze"
2015-05-20 00:00:00,20/05/2015,00Z,26.6,96%,1004.1 Hpa,calm.,,6/8,3/8 SC,AC,-,-,-,-,"Cloudy, mist"
2015-05-20 03:00:00,20/05/2015,03Z,32.0,75%,1004.5 Hpa,calm.,,3/8,3/8 SC,-,-,-,-,26.6,Scattered clouds
2015-05-20 06:00:00,20/05/2015,06Z,34.0,56%,1003.9 Hpa,calm.,,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-20 09:00:00,20/05/2015,09Z,34.8,57%,1000.9 Hpa,calm.,,5/8,5/8 SC,-,-,-,-,-,Cloudy
2015-05-20 12:00:00,20/05/2015,12Z,34.0,59%,1000.3 Hpa,calm.,,2/8,2/8 SC,-,-,-,36.6,-,Few clouds
2015-05-20 15:00:00,20/05/2015,15Z,31.4,73%,1002.1 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-20 18:00:00,20/05/2015,18Z,29.0,89%,1003.5 Hpa,180º (S ),3.7,0/8,-,-,-,-,-,-,Clear
2015-05-20 21:00:00,20/05/2015,21Z,28.4,86%,1003.0 Hpa,calm.,,5/8,2/8 SC,AC,-,-,-,-,Cloudy
2015-05-21 00:00:00,21/05/2015,00Z,27.8,95%,1003.4 Hpa,calm.,,7/8,4/8 SC,AC,-,-,-,-,Cloudy
2015-05-21 03:00:00,21/05/2015,03Z,31.0,79%,1004.3 Hpa,180º (S ),3.7,6/8,4/8 SC,AC,-,-,-,27.5,Cloudy
2015-05-21 06:00:00,21/05/2015,06Z,34.0,63%,1003.6 Hpa,180º (S ),3.7,6/8,4/8 SC,AC,-,-,-,-,Cloudy
2015-05-21 09:00:00,21/05/2015,09Z,35.0,59%,1000.6 Hpa,210º (SW),3.7,5/8,4/8 SC,AC,-,-,-,-,Cloudy
2015-05-21 12:00:00,21/05/2015,12Z,33.5,68%,1000.3 Hpa,210º (SW),3.7,1/8,1/8 SC,-,-,-,35.9,-,Few clouds
2015-05-21 15:00:00,21/05/2015,15Z,30.2,83%,1002.7 Hpa,190º (S ),5.6,2/8,1/8 SC,AC,-,-,-,-,Few clouds
2015-05-21 18:00:00,21/05/2015,18Z,28.7,90%,1002.7 Hpa,180º (S ),3.7,2/8,2/8 SC,-,-,-,-,-,Few clouds
2015-05-21 21:00:00,21/05/2015,21Z,28.5,97%,1002.6 Hpa,180º (S ),3.7,3/8,2/8 SC,AC,-,-,-,-,Scattered clouds
2015-05-22 00:00:00,22/05/2015,00Z,28.2,93%,1002.5 Hpa,180º (S ),3.7,4/8,1/8 SC,AC,-,-,-,-,Scattered clouds
2015-05-22 03:00:00,22/05/2015,03Z,31.3,82%,1003.6 Hpa,180º (S ),5.6,5/8,3/8 SC,AC,-,-,-,28.0,Cloudy
2015-05-22 06:00:00,22/05/2015,06Z,34.0,71%,1003.8 Hpa,180º (S ),5.6,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-22 09:00:00,22/05/2015,09Z,25.0,112%,1000.2 Hpa,180º (S ),7.4,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-22 12:00:00,22/05/2015,12Z,33.8,67%,999.5 Hpa,180º (S ),3.7,4/8,2/8 SC,AC,-,-,35.2,-,Scattered clouds
2015-05-22 15:00:00,22/05/2015,15Z,30.2,78%,1001.6 Hpa,180º (S ),5.6,0/8,-,-,-,-,-,-,Clear
2015-05-22 18:00:00,22/05/2015,18Z,29.2,93%,1001.8 Hpa,180º (S ),3.7,0/8,-,-,-,-,-,-,Clear
2015-05-22 21:00:00,22/05/2015,21Z,29.2,93%,1001.9 Hpa,180º (S ),3.7,4/8,2/8 SC,AC,-,-,-,-,Scattered clouds
2015-05-23 00:00:00,23/05/2015,00Z,29.0,94%,1001.8 Hpa,180º (S ),3.7,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-23 03:00:00,23/05/2015,03Z,32.8,76%,1003.2 Hpa,180º (S ),9.3,5/8,5/8 SC,-,-,-,-,28.6,Cloudy
2015-05-23 06:00:00,23/05/2015,06Z,35.0,63%,1002.4 Hpa,180º (S ),7.4,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-23 09:00:00,23/05/2015,09Z,36.0,56%,999.6 Hpa,180º (S ),9.3,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-23 12:00:00,23/05/2015,12Z,31.3,78%,1000.1 Hpa,180º (S ),7.4,5/8,3/8 SC,AC,-,-,36.0,-,Cloudy
2015-05-23 15:00:00,23/05/2015,15Z,29.5,91%,1001.7 Hpa,180º (S ),5.6,4/8,2/8 SC,AC,-,-,-,-,Scattered clouds
2015-05-23 18:00:00,23/05/2015,18Z,28.5,91%,1001.4 Hpa,180º (S ),5.6,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-23 21:00:00,23/05/2015,21Z,25.0,94%,1002.3 Hpa,330º (NW),22.2,8/8,5/8 CB,AC,,43.0(3h),-,-,"Overcast, thunderstorm"
2015-05-24 00:00:00,24/05/2015,00Z,24.8,89%,1002.8 Hpa,calm.,,4/8,1/8 SC,AC,-,-,-,-,Scattered clouds
2015-05-24 03:00:00,24/05/2015,03Z,23.3,86%,1004.4 Hpa,120º (SE),5.6,8/8,5/8 SC,AC,,64.0(24h),-,22.0,Overcast
2015-05-24 06:00:00,24/05/2015,06Z,27.0,78%,1004.6 Hpa,170º (S ),5.6,7/8,3/8 SC,AC,-,64.0(24h),-,-,Cloudy
2015-05-24 09:00:00,24/05/2015,09Z,29.9,66%,1002.6 Hpa,180º (S ),5.6,6/8,3/8 SC,AC,-,64.0(24h),-,-,Cloudy
2015-05-24 12:00:00,24/05/2015,12Z,28.4,72%,1002.2 Hpa,200º (S ),1.9,6/8,3/8 SC,AC,-,64.0(24h),30.2,-,Cloudy
2015-05-24 15:00:00,24/05/2015,15Z,26.6,80%,1002.9 Hpa,200º (S ),5.6,6/8,3/8 SC,AC,-,64.0(24h),-,-,Cloudy
2015-05-24 18:00:00,24/05/2015,18Z,25.6,85%,1003.5 Hpa,calm.,,8/8,3/8 SC,AC,,64.0(24h),-,-,Overcast
2015-05-24 21:00:00,24/05/2015,21Z,25.0,88%,1000.2 Hpa,200º (S ),3.7,8/8,3/8 SC,AC,,21.2(24h),-,-,Overcast
2015-05-25 03:00:00,25/05/2015,03Z,30.6,72%,1004.8 Hpa,180º (S ),5.6,2/8,2/8 SC,-,-,-,-,24.2,Few clouds
2015-05-25 06:00:00,25/05/2015,06Z,32.8,67%,1004.1 Hpa,180º (S ),9.3,2/8,2/8 SC,-,-,-,-,-,Few clouds
2015-05-25 09:00:00,25/05/2015,09Z,33.3,65%,1002.6 Hpa,180º (S ),14.8,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-25 12:00:00,25/05/2015,12Z,30.5,77%,1002.7 Hpa,180º (S ),13.0,5/8,3/8 SC,AC,-,-,34.3,-,Cloudy
2015-05-25 15:00:00,25/05/2015,15Z,28.8,84%,1004.3 Hpa,180º (S ),7.4,6/8,4/8 SC,AC,-,-,-,-,Cloudy
2015-05-25 18:00:00,25/05/2015,18Z,28.5,91%,1005.5 Hpa,180º (S ),5.6,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-25 21:00:00,25/05/2015,21Z,28.0,88%,1004.9 Hpa,130º (SE),3.7,4/8,2/8 SC,AC,-,-,-,-,Scattered clouds
2015-05-26 03:00:00,26/05/2015,03Z,32.0,66%,1007.1 Hpa,180º (S ),3.7,7/8,5/8 SC,AC,-,-,-,26.9,Cloudy
2015-05-26 06:00:00,26/05/2015,06Z,24.2,93%,1007.0 Hpa,130º (SE),3.7,4/8,2/8 SC,AC,-,2.0(24h),-,-,Scattered clouds
2015-05-26 09:00:00,26/05/2015,09Z,30.4,60%,1005.6 Hpa,180º (S ),3.7,5/8,3/8 SC,AC,-,2.4(24h),-,-,Cloudy
2015-05-26 12:00:00,26/05/2015,12Z,29.2,78%,1004.0 Hpa,180º (S ),3.7,3/8,3/8 SC,-,-,2.4(24h),32.0,-,Scattered clouds
2015-05-26 15:00:00,26/05/2015,15Z,28.4,86%,1005.8 Hpa,180º (S ),3.7,0/8,-,-,-,2.4(24h),-,-,Clear
2015-05-26 18:00:00,26/05/2015,18Z,27.8,95%,1006.4 Hpa,calm.,,0/8,-,-,-,2.4(24h),-,-,Clear
2015-05-26 21:00:00,26/05/2015,21Z,27.8,95%,1006.0 Hpa,calm.,,0/8,2/8 SC,AC,-,2.4(24h),-,-,Clear
2015-05-27 00:00:00,27/05/2015,00Z,27.6,96%,1005.8 Hpa,calm.,,5/8,3/8 SC,AC,-,2.4(24h),-,-,Cloudy
2015-05-27 03:00:00,27/05/2015,03Z,30.0,84%,1007.9 Hpa,180º (S ),3.7,6/8,3/8 SC,AC,-,2.4(24h),-,24.0,Cloudy
2015-05-27 06:00:00,27/05/2015,06Z,32.4,69%,1006.8 Hpa,180º (S ),3.7,7/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-27 09:00:00,27/05/2015,09Z,28.0,83%,1005.4 Hpa,180º (S ),3.7,7/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-27 12:00:00,27/05/2015,12Z,28.0,74%,1004.0 Hpa,calm.,,0/8,-,-,-,-,33.5,-,Clear
2015-05-27 15:00:00,27/05/2015,15Z,26.6,90%,1005.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-27 18:00:00,27/05/2015,18Z,26.7,95%,1004.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-27 21:00:00,27/05/2015,21Z,26.4,97%,1004.0 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-05-28 00:00:00,28/05/2015,00Z,,0%,1004.7 Hpa,020º (N),118.6,1/8,-,-,-,-,-,-,Few clouds
2015-05-28 03:00:00,28/05/2015,03Z,32.1,74%,1006.7 Hpa,130º (SE),3.7,4/8,2/8 SC,AC,-,-,-,26.4,Scattered clouds
2015-05-28 06:00:00,28/05/2015,06Z,32.1,62%,1006.3 Hpa,200º (S ),7.4,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-28 09:00:00,28/05/2015,09Z,34.2,66%,1003.3 Hpa,200º (S ),5.6,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
2015-05-28 12:00:00,28/05/2015,12Z,25.9,94%,1003.5 Hpa,210º (SW),5.6,6/8,4/8 CB,AC,-,3.0(18h),34.6,-,Cloudy
2015-05-28 15:00:00,28/05/2015,15Z,24.4,86%,1004.7 Hpa,calm.,,5/8,3/8 SC,AC,-,3.0(24h),-,-,Cloudy
2015-05-28 18:00:00,28/05/2015,18Z,24.4,91%,1004.8 Hpa,calm.,,3/8,3/8 SC,-,-,3.0(24h),-,-,Scattered clouds
2015-05-28 21:00:00,28/05/2015,21Z,25.7,95%,1004.0 Hpa,calm.,,3/8,3/8 SC,-,-,3.0(24h),-,-,Scattered clouds
2015-05-29 00:00:00,29/05/2015,00Z,27.0,100%,1005.4 Hpa,calm.,,4/8,2/8 SC,AC,-,3.0(24h),-,-,Scattered clouds
2015-05-29 03:00:00,29/05/2015,03Z,30.0,89%,1007.3 Hpa,calm.,,4/8,2/8 SC,AC,-,3.0(24h),-,24.1,Scattered clouds
2015-05-29 06:00:00,29/05/2015,06Z,34.4,61%,1004.8 Hpa,180º (S ),7.4,4/8,3/8 SC,AC,-,3.0(24h),-,-,Scattered clouds
2015-05-29 09:00:00,29/05/2015,09Z,35.0,63%,1004.2 Hpa,180º (S ),5.6,6/8,3/8 SC,AC,-,3.0(24h),-,-,Cloudy
2015-05-29 12:00:00,29/05/2015,12Z,24.6,99%,1004.5 Hpa,080º (E ),33.4,8/8,6/8 CB,AC,,12.0(3h),35.2,-,"Overcast, thunderstorm"
2015-05-29 15:00:00,29/05/2015,15Z,24.2,93%,1006.1 Hpa,200º (S ),1.9,8/8,4/8 CB,AC,,32.0,-,-,"Overcast, thunderstorm no precipitation"
2015-05-29 21:00:00,29/05/2015,21Z,26.2,93%,1005.1 Hpa,calm.,,8/8,3/8 SC,AC,,44.4(24h),-,-,Overcast
2015-05-30 00:00:00,30/05/2015,00Z,26.6,96%,1005.8 Hpa,calm.,,8/8,3/8 SC,AC,,44.4(24h),-,-,Overcast
2015-05-30 03:00:00,30/05/2015,03Z,31.0,84%,1008.0 Hpa,180º (S ),1.9,6/8,3/8 SC,AC,-,44.4(24h),-,23.6,Cloudy
2015-05-30 06:00:00,30/05/2015,06Z,31.4,77%,1007.0 Hpa,220º (SW),5.6,8/8,3/8 SC,AC,,44.4(24h),-,-,Overcast
2015-05-30 09:00:00,30/05/2015,09Z,29.2,82%,1004.9 Hpa,130º (SE),1.9,7/8,5/8 SC,AC,-,44.4(24h),-,-,Cloudy
2015-05-30 12:00:00,30/05/2015,12Z,26.0,83%,1004.4 Hpa,130º (SE),1.9,6/8,4/8 SC,AC,-,32.0(24h),32.6,-,Cloudy
2015-05-30 15:00:00,30/05/2015,15Z,26.1,88%,1006.4 Hpa,calm.,,5/8,4/8 SC,AC,-,-,-,-,Cloudy
2015-05-30 18:00:00,30/05/2015,18Z,27.0,94%,1006.7 Hpa,calm.,,5/8,2/8 SC,AC,-,-,-,-,Cloudy
2015-05-30 21:00:00,30/05/2015,21Z,27.2,93%,1005.3 Hpa,calm.,,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-31 00:00:00,31/05/2015,00Z,27.3,92%,1005.9 Hpa,calm.,,5/8,2/8 SC,AC,-,-,-,-,Cloudy
2015-05-31 03:00:00,31/05/2015,03Z,31.6,76%,1006.9 Hpa,210º (SW),11.1,4/8,4/8 SC,-,-,-,-,25.8,Scattered clouds
2015-05-31 06:00:00,31/05/2015,06Z,34.6,64%,1005.0 Hpa,210º (SW),16.7,4/8,4/8 SC,-,-,-,-,-,Scattered clouds
2015-05-31 09:00:00,31/05/2015,09Z,35.0,59%,1003.3 Hpa,210º (SW),18.5,4/8,3/8 SC,AC,-,-,-,-,Scattered clouds
2015-05-31 12:00:00,31/05/2015,12Z,32.4,65%,1002.6 Hpa,180º (S ),14.8,4/8,3/8 SC,AC,-,-,35.4,-,Scattered clouds
2015-05-31 15:00:00,31/05/2015,15Z,29.6,85%,1004.3 Hpa,180º (S ),7.4,4/8,3/8 SC,AC,-,-,-,-,Scattered clouds
2015-05-31 18:00:00,31/05/2015,18Z,29.8,80%,1004.4 Hpa,180º (S ),7.4,5/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-05-31 21:00:00,31/05/2015,21Z,28.8,84%,1004.1 Hpa,180º (S ),5.6,4/8,3/8 SC,AC,-,-,-,-,Scattered clouds
2015-06-01 00:00:00,01/06/2015,00Z,27.8,89%,1004.3 Hpa,130º (SE),3.7,4/8,2/8 SC,AC,-,-,-,-,Scattered clouds
2015-06-01 03:00:00,01/06/2015,03Z,32.3,73%,1005.5 Hpa,180º (S ),13.0,4/8,5/8 SC,AC,-,-,-,27.4,Scattered clouds
2015-06-01 09:00:00,01/06/2015,09Z,34.5,61%,1003.9 Hpa,180º (S ),16.7,4/8,3/8 SC,AC,-,-,-,-,Scattered clouds
2015-06-01 12:00:00,01/06/2015,12Z,32.7,64%,1003.0 Hpa,210º (SW),7.4,0/8,-,-,-,-,35.2,-,Clear
2015-06-01 15:00:00,01/06/2015,15Z,29.7,80%,1005.7 Hpa,180º (S ),3.7,0/8,-,-,-,-,-,-,Clear
2015-06-01 18:00:00,01/06/2015,18Z,28.8,90%,1006.0 Hpa,180º (S ),1.9,0/8,-,-,-,-,-,-,Clear
2015-06-01 21:00:00,01/06/2015,21Z,28.4,86%,1005.9 Hpa,130º (SE),3.7,0/8,-,-,-,-,-,-,Clear
2015-06-02 00:00:00,02/06/2015,00Z,28.0,88%,1006.7 Hpa,180º (S ),1.9,3/8,-,3/8 AC,-,-,-,-,Scattered clouds
2015-06-02 03:00:00,02/06/2015,03Z,31.2,78%,1007.3 Hpa,180º (S ),14.8,5/8,3/8 SC,AC,-,-,-,27.5,Cloudy
2015-06-02 06:00:00,02/06/2015,06Z,34.5,69%,1006.4 Hpa,180º (S ),7.4,4/8,4/8 SC,-,-,-,-,-,Scattered clouds
2015-06-02 09:00:00,02/06/2015,09Z,35.0,59%,1004.5 Hpa,180º (S ),13.0,4/8,4/8 SC,-,-,-,-,-,Scattered clouds
2015-06-02 12:00:00,02/06/2015,12Z,28.4,72%,1004.5 Hpa,calm.,,6/8,4/8 CB,AC,-,-,35.6,-,"Cloudy, thunderstorm no precipitation"
2015-06-02 15:00:00,02/06/2015,15Z,27.8,84%,1006.1 Hpa,calm.,,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
2015-06-02 18:00:00,02/06/2015,18Z,27.7,90%,1006.4 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-06-02 21:00:00,02/06/2015,21Z,27.8,89%,1005.6 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-06-03 00:00:00,03/06/2015,00Z,28.4,86%,1005.8 Hpa,calm.,,0/8,-,-,-,-,-,-,Clear
2015-06-03 03:00:00,03/06/2015,03Z,32.6,72%,1008.4 Hpa,180º (S ),7.4,3/8,3/8 SC,-,-,-,-,27.4,Scattered clouds
2015-06-03 06:00:00,03/06/2015,06Z,35.1,59%,1007.8 Hpa,180º (S ),5.6,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
2015-06-03 09:00:00,03/06/2015,09Z,33.7,64%,1005.4 Hpa,250º (W ),1.9,6/8,3/8 SC,AC,-,-,-,-,Cloudy
2015-06-03 12:00:00,03/06/2015,12Z,31.3,73%,1004.5 Hpa,180º (S ),1.9,2/8,1/8 SC,-,CI,-,36.0,-,Few clouds
2015-06-03 15:00:00,03/06/2015,15Z,29.3,82%,1005.7 Hpa,calm.,,2/8,-,-,CI,-,-,-,Few clouds
2015-06-03 18:00:00,03/06/2015,18Z,28.8,90%,1007.0 Hpa,calm.,,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
2015-06-03 21:00:00,03/06/2015,21Z,28.3,87%,1005.8 Hpa,calm.,,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
2015-06-04 00:00:00,04/06/2015,00Z,27.4,92%,1007.3 Hpa,calm.,,3/8,3/8 SC,-,-,-,-,-,Scattered clouds
2015-06-04 03:00:00,04/06/2015,03Z,32.6,72%,1008.9 Hpa,270º (W ),1.9,1/8,1/8 SC,-,-,-,-,27.4,Few clouds
